application_id,customer_id,applied_at,credit_check_at,decision,decided_at,card_issued_at,requested_credit_limit,approved_credit_limit,created_at,updated_at
app_brblp7vs,cust_gv2esf4n,2022-08-20,2022-08-20,rejected,2022-08-21,,3000,,2022-08-20,2022-08-21
app_rpcmsqcl,cust_3t6uu8z8,2024-10-09,2024-10-09,rejected,2024-10-09,,5000,,2024-10-09,2024-10-09
app_e9gzhgbw,cust_42rl1eh8,2023-04-01,2023-04-01,approved,2023-04-02,2023-04-07,3000,1000,2023-04-01,2023-04-02
app_v801dds1,cust_advjfuy0,2022-12-08,2022-12-08,rejected,2022-12-09,,1000,,2022-12-08,2022-12-09
app_j0r7wun1,cust_cxtjyrdi,2024-10-14,2024-10-14,rejected,2024-10-15,,500,,2024-10-14,2024-10-15
app_f53s3lft,cust_uf5c1gxs,2023-09-07,2023-09-07,approved,2023-09-08,2023-09-15,3000,500,2023-09-07,2023-09-08
app_58vxc9aa,cust_c02blu27,2022-06-06,2022-06-06,approved,2022-06-07,2022-06-13,2000,500,2022-06-06,2022-06-07
app_0iw99ws4,cust_7mpa7dzv,2023-03-20,2023-03-20,rejected,2023-03-21,,5000,,2023-03-20,2023-03-21
app_2enaozxy,cust_23ag9xc5,2024-10-31,2024-10-31,approved,2024-10-31,2024-11-05,1500,2000,2024-10-31,2024-10-31
app_fm7yg19z,cust_wgebec41,2024-10-04,2024-10-04,rejected,2024-10-04,,1500,,2024-10-04,2024-10-04
app_m93iwug6,cust_kabf8qlt,2024-07-01,2024-07-01,rejected,2024-07-01,,2000,,2024-07-01,2024-07-01
app_jd916g9s,cust_7ph6p9jl,2022-02-22,2022-02-22,rejected,2022-02-22,,1500,,2022-02-22,2022-02-22
app_aawvrtl8,cust_09uw8pdw,2024-01-12,2024-01-12,rejected,2024-01-12,,3000,,2024-01-12,2024-01-12
app_usp91bzu,cust_vzgmffoh,2023-09-18,2023-09-18,approved,2023-09-18,2023-09-21,2000,1500,2023-09-18,2023-09-18
app_z4qc6km6,cust_441wmkxi,2023-11-13,2023-11-13,approved,2023-11-13,2023-11-16,2000,2000,2023-11-13,2023-11-13
app_snxin6y8,cust_ujoa14zg,2023-05-03,2023-05-03,approved,2023-05-03,2023-05-09,3000,500,2023-05-03,2023-05-03
app_wp1i1fgs,cust_cg41rk4m,2023-09-09,2023-09-09,approved,2023-09-10,2023-09-13,500,1000,2023-09-09,2023-09-10
app_zy1ou8qb,cust_4eibkpk7,2022-11-29,2022-11-29,approved,2022-11-30,2022-12-04,1000,500,2022-11-29,2022-11-30
app_7tj2c8rl,cust_5d2h5lom,2024-04-01,2024-04-01,approved,2024-04-01,2024-04-07,500,1500,2024-04-01,2024-04-01
app_bwsgk1w1,cust_7tbh6go7,2022-10-09,2022-10-09,approved,2022-10-09,2022-10-12,1000,500,2022-10-09,2022-10-09
app_2nt20pvy,cust_8lzf4nub,2022-07-07,2022-07-07,approved,2022-07-08,2022-07-14,1500,1000,2022-07-07,2022-07-08
app_4dghtwjj,cust_haahop0e,2024-06-08,2024-06-08,approved,2024-06-08,2024-06-11,1500,1000,2024-06-08,2024-06-08
app_b3lvl9oy,cust_1vm3i0gx,2023-03-12,2023-03-12,rejected,2023-03-13,,1500,,2023-03-12,2023-03-13
app_edx1w7pk,cust_13gbj72b,2023-09-06,2023-09-06,rejected,2023-09-06,,3000,,2023-09-06,2023-09-06
app_8seb2iaa,cust_7aqff2k5,2022-05-06,2022-05-06,approved,2022-05-06,2022-05-09,1500,2000,2022-05-06,2022-05-06
app_rlmz40ky,cust_t083rwr3,2024-05-13,2024-05-13,rejected,2024-05-14,,5000,,2024-05-13,2024-05-14
app_wti40dvq,cust_bmtt7fyw,2023-12-07,2023-12-07,approved,2023-12-08,2023-12-14,500,2000,2023-12-07,2023-12-08
app_hqfl3je2,cust_82motz60,2022-11-18,2022-11-18,approved,2022-11-19,2022-11-22,3000,2000,2022-11-18,2022-11-19
app_suacn582,cust_cgedbt8b,2023-12-21,2023-12-21,rejected,2023-12-22,,1000,,2023-12-21,2023-12-22
app_zknsy60i,cust_mv06ddg6,2024-03-29,2024-03-29,approved,2024-03-30,2024-04-02,5000,2000,2024-03-29,2024-03-30
app_bh197wtt,cust_3hkk54k4,2024-11-11,2024-11-11,approved,2024-11-12,2024-11-16,2000,2000,2024-11-11,2024-11-12
app_o9ty917v,cust_f4wnsmw5,2023-02-18,2023-02-18,rejected,2023-02-18,,1000,,2023-02-18,2023-02-18
app_9d94gl95,cust_pxf50ojq,2024-10-21,2024-10-21,rejected,2024-10-21,,5000,,2024-10-21,2024-10-21
app_qedc3egv,cust_p5md3exu,2022-12-17,2022-12-17,rejected,2022-12-18,,3000,,2022-12-17,2022-12-18
app_oevzicho,cust_1hfl1zop,2024-08-18,2024-08-18,approved,2024-08-18,2024-08-25,2000,1500,2024-08-18,2024-08-18
app_vryzng32,cust_k1gpcxwa,2023-12-14,2023-12-14,approved,2023-12-14,2023-12-21,1000,1500,2023-12-14,2023-12-14
app_7a2ob3d9,cust_bjt4zf3d,2022-12-04,2022-12-04,approved,2022-12-05,2022-12-09,500,2000,2022-12-04,2022-12-05
app_d41czje2,cust_x5zt5tt9,2023-09-17,2023-09-17,approved,2023-09-18,2023-09-22,1500,2000,2023-09-17,2023-09-18
app_ccbbi0tv,cust_to914ybn,2024-10-29,2024-10-29,approved,2024-10-30,2024-11-02,1000,1500,2024-10-29,2024-10-30
app_enc97exp,cust_s18wk501,2022-09-13,2022-09-13,approved,2022-09-14,2022-09-17,500,2000,2022-09-13,2022-09-14
app_z3yp7k0b,cust_f73ggayb,2022-12-25,2022-12-25,approved,2022-12-26,2023-01-02,1500,2000,2022-12-25,2022-12-26
app_hcakzzes,cust_77u55d5q,2024-05-03,2024-05-04,approved,2024-05-04,2024-05-10,1500,2000,2024-05-03,2024-05-04
app_w3j1bqwd,cust_74wxuwco,2024-06-17,2024-06-17,approved,2024-06-17,2024-06-22,2000,500,2024-06-17,2024-06-17
app_cajjhlxq,cust_49h5vn28,2023-03-27,2023-03-27,approved,2023-03-27,2023-04-01,500,1000,2023-03-27,2023-03-27
app_65cybru8,cust_58611gqi,2023-10-17,2023-10-17,rejected,2023-10-17,,1000,,2023-10-17,2023-10-17
app_43pt5p5a,cust_l70zo6rd,2022-04-19,2022-04-19,approved,2022-04-20,2022-04-25,1500,1500,2022-04-19,2022-04-20
app_6spshgy9,cust_6tdxj1wq,2024-07-07,2024-07-07,approved,2024-07-08,2024-07-12,5000,1000,2024-07-07,2024-07-08
app_ldzcprxi,cust_8ong5udl,2023-02-25,2023-02-25,rejected,2023-02-26,,500,,2023-02-25,2023-02-26
app_la2er8yz,cust_ijpw105u,2022-02-20,2022-02-20,approved,2022-02-21,2022-02-26,2000,1000,2022-02-20,2022-02-21
app_e4kvfqz2,cust_9k1uoaa2,2024-07-30,2024-07-30,approved,2024-07-30,2024-08-05,5000,500,2024-07-30,2024-07-30
app_460qxcda,cust_uocs224e,2024-08-24,2024-08-24,rejected,2024-08-24,,1500,,2024-08-24,2024-08-24
app_gbptqe2p,cust_lg49ffqo,2023-09-11,2023-09-11,approved,2023-09-11,2023-09-18,3000,2000,2023-09-11,2023-09-11
app_23f42xzh,cust_4mdhutt5,2022-04-07,2022-04-07,rejected,2022-04-07,,3000,,2022-04-07,2022-04-07
app_ngdi8spo,cust_0j49to5a,2024-07-12,2024-07-12,approved,2024-07-13,2024-07-18,5000,500,2024-07-12,2024-07-13
app_dcxfcbyf,cust_lpg7gvlh,2023-08-29,2023-08-29,approved,2023-08-30,2023-09-06,1000,2000,2023-08-29,2023-08-30
app_rggp0cjf,cust_tylvvld3,2023-04-22,2023-04-22,approved,2023-04-22,2023-04-25,1000,1500,2023-04-22,2023-04-22
app_sti9ke63,cust_lmdz5vai,2022-10-11,2022-10-11,approved,2022-10-11,2022-10-15,1000,1000,2022-10-11,2022-10-11
app_x1d8w3gr,cust_r7xwqf1t,2023-06-07,2023-06-07,approved,2023-06-08,2023-06-13,3000,1000,2023-06-07,2023-06-08
app_f9jl3zqu,cust_b4bldqlq,2024-02-14,2024-02-14,approved,2024-02-14,2024-02-21,1000,2000,2024-02-14,2024-02-14
app_7lsy2sqf,cust_00e2qmk3,2024-08-15,2024-08-15,approved,2024-08-15,2024-08-22,1500,1000,2024-08-15,2024-08-15
app_3ipqbit6,cust_rtiehc2y,2023-05-16,2023-05-16,approved,2023-05-17,2023-05-20,5000,500,2023-05-16,2023-05-17
app_5oxlck2o,cust_ss63umgt,2023-02-13,2023-02-13,approved,2023-02-13,2023-02-17,1500,500,2023-02-13,2023-02-13
app_fqmv8tey,cust_gkndr07v,2024-04-16,2024-04-16,approved,2024-04-17,2024-04-24,1500,500,2024-04-16,2024-04-17
app_6zg8kpxm,cust_vu5wp8mv,2022-03-22,2022-03-22,approved,2022-03-22,2022-03-28,1000,2000,2022-03-22,2022-03-22
app_rp7eydr1,cust_0ssw74wq,2024-02-05,2024-02-05,rejected,2024-02-07,,5000,,2024-02-05,2024-02-07
app_p0aj77c6,cust_lzms804b,2022-11-14,2022-11-14,approved,2022-11-14,2022-11-21,5000,1500,2022-11-14,2022-11-14
app_ap0o5yxb,cust_xwcetgv4,2022-06-21,2022-06-21,approved,2022-06-21,2022-06-24,5000,500,2022-06-21,2022-06-21
app_ftlo5wx4,cust_jldj7p1f,2024-03-19,2024-03-19,approved,2024-03-20,2024-03-24,3000,500,2024-03-19,2024-03-20
app_jl86fz47,cust_tmpt1uv9,2022-06-21,2022-06-21,approved,2022-06-21,2022-06-25,500,1500,2022-06-21,2022-06-21
app_xi5w1vhq,cust_2x54u44q,2022-05-01,2022-05-01,rejected,2022-05-01,,3000,,2022-05-01,2022-05-01
app_ps19wgxo,cust_h2d3ls11,2024-08-30,2024-08-30,rejected,2024-08-31,,1500,,2024-08-30,2024-08-31
app_cdbjg57b,cust_o0eu2ci4,2022-09-17,2022-09-17,approved,2022-09-18,2022-09-22,1500,2000,2022-09-17,2022-09-18
app_o89law84,cust_e0bct324,2022-09-18,2022-09-18,approved,2022-09-18,2022-09-21,1000,1500,2022-09-18,2022-09-18
app_ucu0zjeq,cust_hcmz2rno,2024-07-09,2024-07-09,rejected,2024-07-09,,500,,2024-07-09,2024-07-09
app_jvyl4zls,cust_hiwzwt99,2024-06-11,2024-06-11,approved,2024-06-11,2024-06-16,500,1000,2024-06-11,2024-06-11
app_javhxql9,cust_sirq4tp1,2024-03-07,2024-03-07,approved,2024-03-08,2024-03-15,500,2000,2024-03-07,2024-03-08
app_1hpgrbr6,cust_3j3yc6wz,2023-11-08,2023-11-08,rejected,2023-11-08,,2000,,2023-11-08,2023-11-08
app_dkcq4l3k,cust_oj98byte,2023-04-11,2023-04-11,approved,2023-04-12,2023-04-15,500,2000,2023-04-11,2023-04-12
app_ij1kgcvk,cust_sdwyqtuv,2023-03-25,2023-03-25,approved,2023-03-25,2023-04-01,2000,500,2023-03-25,2023-03-25
app_0fbf2kgb,cust_51m4i3l0,2024-08-08,2024-08-08,approved,2024-08-09,2024-08-13,500,1000,2024-08-08,2024-08-09
app_u4u0vitj,cust_vwe8g358,2023-02-05,2023-02-05,rejected,2023-02-06,,3000,,2023-02-05,2023-02-06
app_whch2926,cust_yy4jufn2,2022-06-26,2022-06-26,approved,2022-06-26,2022-06-30,1000,1500,2022-06-26,2022-06-26
app_ohzjh8gd,cust_f1tqv0r0,2023-06-12,2023-06-12,approved,2023-06-13,2023-06-20,500,500,2023-06-12,2023-06-13
app_e65i0m2a,cust_rkfkj6xh,2024-05-16,2024-05-16,approved,2024-05-16,2024-05-23,5000,1500,2024-05-16,2024-05-16
app_zhzr9m68,cust_sdnbatqx,2022-04-27,2022-04-27,approved,2022-04-28,2022-05-03,5000,1500,2022-04-27,2022-04-28
app_klooafzd,cust_i6oeuh8v,2022-02-17,2022-02-17,approved,2022-02-17,2022-02-20,3000,500,2022-02-17,2022-02-17
app_9sjh4rmz,cust_e8ua2hqg,2022-03-17,2022-03-17,approved,2022-03-17,2022-03-24,500,500,2022-03-17,2022-03-17
app_ixhwoc06,cust_9dg38raj,2023-05-22,2023-05-22,approved,2023-05-23,2023-05-30,500,2000,2023-05-22,2023-05-23
app_vltat5d8,cust_vk32rgwh,2023-02-07,2023-02-07,approved,2023-02-07,2023-02-10,2000,500,2023-02-07,2023-02-07
app_z69zt9ko,cust_oxvku8yj,2023-12-14,2023-12-14,approved,2023-12-14,2023-12-21,3000,2000,2023-12-14,2023-12-14
app_mxjjdq1c,cust_dud8t7d2,2024-04-15,2024-04-15,approved,2024-04-16,2024-04-19,3000,1000,2024-04-15,2024-04-16
app_eqvc71s9,cust_ju26sphn,2022-05-23,2022-05-23,rejected,2022-05-24,,1500,,2022-05-23,2022-05-24
app_wtemhhln,cust_0px99dbk,2022-10-05,2022-10-05,approved,2022-10-06,2022-10-10,3000,1500,2022-10-05,2022-10-06
app_dhf0xdkq,cust_t369o8w4,2023-11-29,2023-11-29,approved,2023-11-29,2023-12-06,500,1500,2023-11-29,2023-11-29
app_ss7dc6ja,cust_vwas1udj,2024-04-12,2024-04-12,rejected,2024-04-13,,1500,,2024-04-12,2024-04-13
app_seyhphdx,cust_a2mt4c46,2024-06-11,2024-06-11,approved,2024-06-11,2024-06-18,2000,1000,2024-06-11,2024-06-11
app_xd638yvu,cust_39syied4,2024-07-11,2024-07-11,approved,2024-07-12,2024-07-18,3000,1500,2024-07-11,2024-07-12
app_jycwel0j,cust_tnjs18l9,2023-02-06,2023-02-06,approved,2023-02-06,2023-02-12,5000,1000,2023-02-06,2023-02-06
app_cpi5ih1g,cust_1joqnuvk,2023-08-05,2023-08-05,approved,2023-08-06,2023-08-13,1500,1500,2023-08-05,2023-08-06
app_vshtrxsh,cust_e5z3ztds,2022-10-29,2022-10-29,approved,2022-10-29,2022-11-04,5000,1500,2022-10-29,2022-10-29
app_d5p68u6y,cust_f6ftscjl,2022-11-01,2022-11-01,rejected,2022-11-01,,2000,,2022-11-01,2022-11-01
app_08b1j8ci,cust_f7mqadw9,2022-10-23,2022-10-23,approved,2022-10-23,2022-10-29,1000,2000,2022-10-23,2022-10-23
app_nimqpmk5,cust_w29max6e,2022-04-03,2022-04-03,approved,2022-04-04,2022-04-07,1000,2000,2022-04-03,2022-04-04
app_iad32y05,cust_beifdd56,2023-03-07,2023-03-07,rejected,2023-03-08,,2000,,2023-03-07,2023-03-08
app_lix5blgu,cust_mexjtnrp,2023-11-03,2023-11-03,rejected,2023-11-03,,5000,,2023-11-03,2023-11-03
app_5254s3o9,cust_l08kgfp9,2023-10-05,2023-10-05,approved,2023-10-05,2023-10-11,1500,1000,2023-10-05,2023-10-05
app_071v7w7q,cust_nz298l4j,2023-12-27,2023-12-27,rejected,2023-12-27,,2000,,2023-12-27,2023-12-27
app_rxa0d8ta,cust_710eq8o9,2024-11-23,2024-11-23,approved,2024-11-24,2024-11-27,500,500,2024-11-23,2024-11-24
app_0n6hlo65,cust_284jc755,2024-04-23,2024-04-24,approved,2024-04-24,2024-04-28,3000,500,2024-04-23,2024-04-24
app_xn40pzur,cust_r3xuxnb9,2022-08-17,2022-08-17,rejected,2022-08-18,,2000,,2022-08-17,2022-08-18
app_njukft1f,cust_eljhb051,2022-12-03,2022-12-03,rejected,2022-12-03,,1000,,2022-12-03,2022-12-03
app_qbuf45nt,cust_1tcfi4pl,2023-12-05,2023-12-05,approved,2023-12-05,2023-12-12,3000,2000,2023-12-05,2023-12-05
app_u6gyroxi,cust_0tj2t9o5,2022-02-21,2022-02-21,approved,2022-02-22,2022-02-25,1500,1500,2022-02-21,2022-02-22
app_ssuy6kaz,cust_3nh0c0ib,2024-04-08,2024-04-08,approved,2024-04-09,2024-04-13,5000,2000,2024-04-08,2024-04-09
app_7oit17jb,cust_ifzxsbcf,2023-02-28,2023-02-28,rejected,2023-03-01,,5000,,2023-02-28,2023-03-01
app_gi8zkkv0,cust_bdj7h7re,2022-08-15,2022-08-15,rejected,2022-08-15,,1000,,2022-08-15,2022-08-15
app_fw1g4yr0,cust_tb0515f9,2024-01-09,2024-01-09,rejected,2024-01-10,,3000,,2024-01-09,2024-01-10
app_x5grqb7u,cust_dx4w3lna,2022-09-25,2022-09-25,rejected,2022-09-25,,500,,2022-09-25,2022-09-25
app_nuotsqei,cust_erft5p0q,2024-09-06,2024-09-06,rejected,2024-09-06,,5000,,2024-09-06,2024-09-06
app_jho7sxcz,cust_iqp56a2t,2024-02-02,2024-02-02,approved,2024-02-02,2024-02-09,2000,2000,2024-02-02,2024-02-02
app_gdgy87qt,cust_j5g1hog8,2022-09-27,2022-09-27,approved,2022-09-27,2022-10-04,1500,500,2022-09-27,2022-09-27
app_spbyfxl6,cust_t4jxa2ym,2024-06-15,2024-06-15,rejected,2024-06-16,,5000,,2024-06-15,2024-06-16
app_culieacp,cust_z77dbeok,2022-11-17,2022-11-17,rejected,2022-11-18,,3000,,2022-11-17,2022-11-18
app_6ps42enm,cust_98x16f4z,2022-09-09,2022-09-09,rejected,2022-09-10,,3000,,2022-09-09,2022-09-10
app_v9hdex4e,cust_z1z9zo2i,2023-12-02,2023-12-03,approved,2023-12-03,2023-12-06,5000,500,2023-12-02,2023-12-03
app_pom373cj,cust_5jrj9r3v,2024-05-22,2024-05-22,rejected,2024-05-23,,1500,,2024-05-22,2024-05-23
app_spks337j,cust_f4x13qin,2022-12-04,2022-12-04,rejected,2022-12-04,,1500,,2022-12-04,2022-12-04
app_ic6pm523,cust_91r0hrli,2022-02-03,2022-02-03,approved,2022-02-04,2022-02-07,5000,1500,2022-02-03,2022-02-04
app_ayljcbkq,cust_4zynfgj1,2024-12-24,2024-12-24,approved,2024-12-24,2024-12-27,500,1500,2024-12-24,2024-12-24
app_3hlcxjpo,cust_9qpeq6yf,2022-05-31,2022-05-31,rejected,2022-05-31,,3000,,2022-05-31,2022-05-31
app_j7xhazf3,cust_7ryme6ps,2024-09-06,2024-09-06,rejected,2024-09-07,,1500,,2024-09-06,2024-09-07
app_86ijt8wn,cust_fhpd6vq8,2022-02-03,2022-02-03,approved,2022-02-04,2022-02-09,500,1000,2022-02-03,2022-02-04
app_e4tqnvwa,cust_rvqzmf4v,2022-03-21,2022-03-21,rejected,2022-03-21,,5000,,2022-03-21,2022-03-21
app_5e8twges,cust_40e0gzgx,2024-10-11,2024-10-11,rejected,2024-10-12,,1500,,2024-10-11,2024-10-12
app_qxn30edj,cust_rv8df2f5,2024-02-15,2024-02-15,rejected,2024-02-16,,3000,,2024-02-15,2024-02-16
app_5zaomn6a,cust_n748av3g,2023-01-25,2023-01-25,approved,2023-01-26,2023-01-30,2000,2000,2023-01-25,2023-01-26
app_7sl1jeix,cust_96gorcpa,2022-06-12,2022-06-12,approved,2022-06-13,2022-06-17,5000,2000,2022-06-12,2022-06-13
app_xv2dfc8k,cust_c7q25y7k,2023-02-12,2023-02-12,approved,2023-02-12,2023-02-17,3000,2000,2023-02-12,2023-02-12
app_1vt4v7d4,cust_u45pu2pi,2022-01-30,2022-01-30,approved,2022-01-30,2022-02-02,1000,500,2022-01-30,2022-01-30
app_cgohj8gl,cust_jfm03tdv,2023-05-02,2023-05-02,approved,2023-05-02,2023-05-05,1500,1000,2023-05-02,2023-05-02
app_0rlx4js0,cust_d6enmb9u,2024-06-16,2024-06-16,rejected,2024-06-16,,1000,,2024-06-16,2024-06-16
app_oktd3fks,cust_a0914aba,2022-08-26,2022-08-26,rejected,2022-08-27,,3000,,2022-08-26,2022-08-27
app_ibz3k0c0,cust_g8icfnxl,2022-05-26,2022-05-26,approved,2022-05-26,2022-06-02,500,1000,2022-05-26,2022-05-26
app_swyq7qna,cust_z6iostuz,2023-03-24,2023-03-24,rejected,2023-03-25,,2000,,2023-03-24,2023-03-25
app_u7hf043h,cust_i7ve3au0,2023-04-28,2023-04-28,rejected,2023-04-29,,1500,,2023-04-28,2023-04-29
app_qpty5x7i,cust_ocirio74,2023-08-10,2023-08-10,rejected,2023-08-11,,1500,,2023-08-10,2023-08-11
app_jjefsrdk,cust_5jgzcy4m,2023-10-24,2023-10-24,rejected,2023-10-24,,3000,,2023-10-24,2023-10-24
app_o62g7j0f,cust_kxb4rvwj,2022-09-19,2022-09-19,approved,2022-09-19,2022-09-26,500,1500,2022-09-19,2022-09-19
app_xybz9m7s,cust_tzj2l72v,2022-01-18,2022-01-18,approved,2022-01-19,2022-01-23,1500,1500,2022-01-18,2022-01-19
app_6i2b3emj,cust_3hhigvum,2024-01-19,2024-01-19,approved,2024-01-19,2024-01-24,3000,500,2024-01-19,2024-01-19
app_xjkobiaa,cust_kpcsw2ms,2023-02-26,2023-02-26,rejected,2023-02-27,,2000,,2023-02-26,2023-02-27
app_bs913s7k,cust_9qtg15xd,2022-12-28,2022-12-28,approved,2022-12-29,2023-01-04,500,2000,2022-12-28,2022-12-29
app_k3ykkde1,cust_v2vxo3pe,2024-04-01,2024-04-01,rejected,2024-04-02,,1500,,2024-04-01,2024-04-02
app_5xu48bok,cust_upgrkbzw,2022-05-02,2022-05-02,approved,2022-05-03,2022-05-10,500,500,2022-05-02,2022-05-03
app_srn5l5jk,cust_lkdyp4rp,2022-10-21,2022-10-21,rejected,2022-10-22,,3000,,2022-10-21,2022-10-22
app_urivwuqq,cust_uigjd3x4,2022-08-26,2022-08-26,approved,2022-08-26,2022-09-02,500,500,2022-08-26,2022-08-26
app_4rae624s,cust_7wkdpehd,2023-12-24,2023-12-24,approved,2023-12-24,2023-12-29,2000,2000,2023-12-24,2023-12-24
app_k2mmtc0o,cust_qxnn861p,2023-04-01,2023-04-01,rejected,2023-04-01,,500,,2023-04-01,2023-04-01
app_9hnunhlk,cust_53r4dtad,2024-10-25,2024-10-25,rejected,2024-10-26,,1500,,2024-10-25,2024-10-26
app_pv0lk1qg,cust_u9f51ni4,2022-10-15,2022-10-15,approved,2022-10-15,2022-10-19,3000,1500,2022-10-15,2022-10-15
app_vz8ae2jo,cust_pzca8vi5,2023-10-08,2023-10-08,approved,2023-10-08,2023-10-13,3000,500,2023-10-08,2023-10-08
app_sju0enu3,cust_lva2uhtj,2024-06-16,2024-06-17,rejected,2024-06-18,,3000,,2024-06-16,2024-06-18
app_ct8n21s0,cust_hs6jhb0c,2024-07-22,2024-07-22,approved,2024-07-23,2024-07-27,1000,1000,2024-07-22,2024-07-23
app_42158jys,cust_4e51o762,2024-02-14,2024-02-14,approved,2024-02-14,2024-02-19,1000,500,2024-02-14,2024-02-14
app_359yv3z0,cust_vbcq7g4a,2024-12-05,2024-12-05,rejected,2024-12-06,,1500,,2024-12-05,2024-12-06
app_mb4wl8lf,cust_a9n1pmbz,2024-07-02,2024-07-02,rejected,2024-07-02,,1000,,2024-07-02,2024-07-02
app_qdvk6fwv,cust_xxaoz5e7,2023-01-28,2023-01-28,approved,2023-01-29,2023-02-02,1500,2000,2023-01-28,2023-01-29
app_c1hj5zg3,cust_kcasssls,2023-11-19,2023-11-19,rejected,2023-11-21,,1000,,2023-11-19,2023-11-21
app_2ba0zye8,cust_ok3zy5sr,2024-04-18,2024-04-18,approved,2024-04-18,2024-04-23,500,1500,2024-04-18,2024-04-18
app_weu937cp,cust_4wufeqj4,2024-05-27,2024-05-27,approved,2024-05-28,2024-06-03,1000,2000,2024-05-27,2024-05-28
app_o1pweyf5,cust_4c937rup,2023-11-08,2023-11-08,approved,2023-11-08,2023-11-15,3000,1500,2023-11-08,2023-11-08
app_jnk5uxrj,cust_5yilyxye,2024-01-23,2024-01-23,approved,2024-01-24,2024-01-30,3000,500,2024-01-23,2024-01-24
app_c72indv0,cust_3z2y3c0e,2024-09-16,2024-09-16,approved,2024-09-16,2024-09-23,1000,1000,2024-09-16,2024-09-16
app_2prj7qcx,cust_6xda71eb,2022-12-15,2022-12-15,approved,2022-12-15,2022-12-18,2000,500,2022-12-15,2022-12-15
app_ezi0ui1s,cust_wbx54qot,2024-05-14,2024-05-14,rejected,2024-05-15,,500,,2024-05-14,2024-05-15
app_lc3jgvf3,cust_l8xafsum,2023-01-28,2023-01-28,approved,2023-01-28,2023-02-02,3000,1000,2023-01-28,2023-01-28
app_0qmg075m,cust_ec1g7h6j,2023-07-21,2023-07-21,rejected,2023-07-21,,500,,2023-07-21,2023-07-21
app_2urlydar,cust_ms3rag0k,2022-11-19,2022-11-19,approved,2022-11-20,2022-11-24,1500,2000,2022-11-19,2022-11-20
app_ybe1ceo6,cust_d78qig6u,2024-04-20,2024-04-20,approved,2024-04-21,2024-04-24,1000,1500,2024-04-20,2024-04-21
app_gbwkeyar,cust_qe1il46l,2023-12-31,2024-01-01,rejected,2024-01-01,,3000,,2023-12-31,2024-01-01
app_sju0vhii,cust_tpn7y853,2023-07-14,2023-07-14,approved,2023-07-15,2023-07-18,1500,1500,2023-07-14,2023-07-15
app_1iz0uht1,cust_u9in7ofh,2022-09-23,2022-09-23,rejected,2022-09-24,,500,,2022-09-23,2022-09-24
app_2c91j0th,cust_8oveuur6,2023-01-19,2023-01-19,rejected,2023-01-19,,1000,,2023-01-19,2023-01-19
app_w4v4psv8,cust_fowapcq7,2024-05-03,2024-05-03,rejected,2024-05-04,,1500,,2024-05-03,2024-05-04
app_l1n7srdf,cust_8xf6v8th,2024-09-18,2024-09-18,approved,2024-09-18,2024-09-24,500,500,2024-09-18,2024-09-18
app_w1qrz2v6,cust_g1d9ob6k,2022-05-03,2022-05-03,rejected,2022-05-03,,500,,2022-05-03,2022-05-03
app_r87p04x7,cust_fwtevtx3,2024-03-02,2024-03-02,approved,2024-03-02,2024-03-06,5000,2000,2024-03-02,2024-03-02
app_bvf589x7,cust_awzfsi3b,2024-10-06,2024-10-06,rejected,2024-10-06,,1000,,2024-10-06,2024-10-06
app_jqvic0fo,cust_uwe773t9,2022-03-28,2022-03-28,approved,2022-03-29,2022-04-03,1500,500,2022-03-28,2022-03-29
app_j5rr0amq,cust_rnwawo7p,2023-12-06,2023-12-06,rejected,2023-12-07,,1500,,2023-12-06,2023-12-07
app_7v2tvoo1,cust_dbrhgr8c,2024-05-21,2024-05-21,approved,2024-05-22,2024-05-26,500,500,2024-05-21,2024-05-22
app_d41yi34i,cust_4oc1cqb7,2024-01-08,2024-01-08,approved,2024-01-09,2024-01-12,500,2000,2024-01-08,2024-01-09
app_9wj3g3qu,cust_mjn8b3um,2022-01-13,2022-01-14,approved,2022-01-15,2022-01-20,500,500,2022-01-13,2022-01-15
app_n901x3yx,cust_6qj2onve,2024-04-19,2024-04-19,rejected,2024-04-20,,2000,,2024-04-19,2024-04-20
app_cv0nzqpe,cust_ahn110bs,2024-04-26,2024-04-26,approved,2024-04-27,2024-05-03,500,2000,2024-04-26,2024-04-27
app_2ib9z2pk,cust_taofzd6k,2024-06-19,2024-06-19,rejected,2024-06-19,,1000,,2024-06-19,2024-06-19
app_ulqd7gmo,cust_ebg9k4ss,2022-05-18,2022-05-18,approved,2022-05-19,2022-05-22,1500,500,2022-05-18,2022-05-19
app_13hsok1a,cust_u9bg9zvw,2023-08-04,2023-08-04,approved,2023-08-05,2023-08-09,1000,1000,2023-08-04,2023-08-05
app_f7wyalng,cust_odmjmbfo,2023-01-25,2023-01-25,rejected,2023-01-26,,500,,2023-01-25,2023-01-26
app_5udfg1xg,cust_2yfai6yr,2023-07-19,2023-07-19,approved,2023-07-19,2023-07-23,2000,2000,2023-07-19,2023-07-19
app_s4kl9kxx,cust_5yyexhpc,2024-03-17,2024-03-17,rejected,2024-03-17,,1000,,2024-03-17,2024-03-17
app_di8qmvk8,cust_p229eoiz,2024-02-24,2024-02-24,rejected,2024-02-25,,1000,,2024-02-24,2024-02-25
app_zz8328q9,cust_0kertqhn,2024-04-05,2024-04-05,rejected,2024-04-05,,500,,2024-04-05,2024-04-05
